Date,news,news_polarity,news_subjectivity,news_sentiment,tweets,source,Open,High,Low,Close,Adj Close,Volume,BTC-USD Next Day Close,Output
2020-06-04,"DeFi stands for decentralized finance, and itâ€™s a revolutionary issue in the financial space, which has been gaining more and more popularity these days. At the beginning of this strange year, there was a report",-0.03,0.07,Negative,Nothing more bullish for #gold and #bitcoinBeginning of the end for govt bonds as a functioning productive asset class.Traditional 60/40 portfolios will need to find a new defensive asset to replace portion of the 40%.Gold is the most liquid best defensive asset that exists,https://twitter.com/DTAPCAP/status/1268592295055630337,9655.8544921875,9887.6103515625,9525.2470703125,9800.63671875,9800.63671875,25921805072,9665.533203125,0
2020-06-05,"The ICON community of enthusiasts gets another update - it's been just revealed that the ICON Vote Monitor got a better UI and more. Check out their Twitter announcement. #ICON community, @everstake_pool has updated ICON",0.5,0.5,Neutral,Greed and Fear in #bitcoin markets,https://twitter.com/100trillionUSD/status/1268828654546481153,9800.2158203125,9869.2373046875,9663.216796875,9665.533203125,9665.533203125,23509628646,9653.6796875,0
2020-06-06,"Earlier today, we revealed that ICONLOOP, ICONâ€™ technical partner has been chosen to receive funding from the $100 Million USD Fintech Innovation Fund. The team shared a tweet in which they made the announcement and",0.13,0.53,Neutral,#Bitcoin priced in Gold .. USD out of the equation,https://twitter.com/100trillionUSD/status/1268962459185971200,9664.904296875,9773.431640625,9591.0244140625,9653.6796875,9653.6796875,20438419222,9758.8525390625,1
2020-06-07,"ICON has been gaining a lot in popularity for a while and ICONLOOP as well. ICONLOOP, ICONâ€™s technical partner, has been chosen to receive funding from the $100 Million USD Fintech Innovation Fund. Just in",0.0,0.1,Neutral,Your leaders break the rules they ask you to follow.They print the money they ask you to work for.Opt out of the currency they ask you to use.,https://twitter.com/LinaSeiche/status/1269322659872952321,9653.0029296875,9768.498046875,9458.150390625,9758.8525390625,9758.8525390625,25015250846,9771.4892578125,1
2020-06-08,ICON is a project that has been gaining massive credibility and support among enthusiasts. They also believe that the project's digital asset will be gaining more value based on the trajectory that it had this,0.0,0.5,Neutral,Defunding police makes no sense. Banksters will hire mercenaries and the kill rate will go up .Defund the Fed and solve *all* the problems.How? Start swapping your violence-backed fiat for #Bitcoin,https://twitter.com/MaxKeiserUncut/status/1269761503613407234,9760.0634765625,9782.306640625,9675.8857421875,9771.4892578125,9771.4892578125,21486346312,9795.7001953125,1
2020-06-09,"ICON is a project that has been gaining increased popularity in the crypto space, and the digital asset ICX is also becoming more and more popular. Enthusiasts are expecting to see massive gains coming from",0.26,0.69,Neutral,"The BRRRR meme goes all the way back to the 1800s when Lincoln issued the greenback to help fight the civil war. It was a fiat currency, not backed by gold.#Bitcoin",https://twitter.com/bradmillscan/status/1270123986412765186,9774.3603515625,9836.369140625,9664.7197265625,9795.7001953125,9795.7001953125,23717842783,9870.0947265625,1
2020-06-10,"ICONLOOP has been making some important moves this year, and the firm continues in the same manner. First of all, we remind readers that this is a tech firm thatâ€™s based in Seoul, and the",0.09,0.53,Neutral,#Bitcoin supply curve starting to flatten against a parabolic USD M2 money supply—what happens next?,https://twitter.com/Breedlove22/status/1270225648691249152,9794.119140625,9908.896484375,9728.291015625,9870.0947265625,9870.0947265625,25706567601,9321.78125,0
2020-06-11,"It's been recently revealed that ICONLOOP aims to boost sales by 50% in 2020. The firm plans to boost sales with about $14.7 million or KRW 18 billion, according to the reports coming from the",-0.1,0.33,Negative,"Grayscale buys way less #Bitcoin than many would think. Factoring in ""in-kind"" purchases, Grayscale has only bought 31% of all new bitcoins mined since the halving, far less than the 150%+ many have reported. This is just one of many misconceptions about Grayscale's trusts.",https://x.com/RyanWatkins_/status/1271097895308218369,9870.078125,9938.2978515625,9263.0693359375,9321.78125,9321.78125,30247143440,9480.84375,1
2020-06-12,"The other day, Bitcoin was almost re-testing the important psychological level of $10k, but the king coin was not able to surpass this FOMO-triggering point. At the moment of writing this article, the crypto market",0.18,0.42,Neutral,Bitfinex orderbook is telling a very specific story Cheers to @Yodaskk for pointing this out #Bitcoin,https://x.com/ColeGarnersTake/status/1271486857373761537,9320.6904296875,9540.4658203125,9285.8515625,9480.84375,9480.84375,22610564515,9475.27734375,0
2020-06-13,ICONLOOP has been making lots of headlines these days due to various achievements. It was recently reported thatÂ ICONLOOP aims to boost sales by 50% in 2020. The firm plans to boost sales with about $14.7,0.1,0.48,Neutral,"21,000,000. No more, no less. Few understand this. #Bitcoin",https://x.com/paybtc_au/status/1271795925808078848,9480.7353515625,9493.2119140625,9396.009765625,9475.27734375,9475.27734375,17564322315,9386.7880859375,0
2020-06-14,"The ICON team recently released an update and made the announcement on their Twitter account. This is an update that concerns the ICON P-Reps, and you can check out the original post below. For all",0.26,0.67,Neutral,"Did you know physicist, Isaac Newton, was warden of the Royal Mint & directed Britain to adopt the gold standard in 1717 leading to its economic supremacy? (The Bitcoin Standard) He didn’t choose fiat. As a brilliant man of science, I bet he would have liked #bitcoin",https://x.com/crypto_spawn/status/1271986131115147264,9477.5537109375,9482.2705078125,9347.59375,9386.7880859375,9386.7880859375,18991732746,9450.7021484375,1
2020-06-15,"Nexus Mutual, an alternative insurance provider for a variety of Ethereum-based DeFi protocols, has seen its risk pool double over the past 90 days to more than $4 million.",-0.12,0.12,Negative,Control of money corrupts. Absolute control of money corrupts absolutely. No one controls #Bitcoin,https://x.com/jimmysong/status/1272654934488408064,9386.03515625,9504.8603515625,8990.17578125,9450.7021484375,9450.7021484375,26699704768,9538.0244140625,1
2020-06-16,Both ICON (ICX) and Hedera Hashgraph (HBAR) have been correcting over the past two months but ICX is showing stronger signs of reversal.,-0.25,0.25,Negative,"Today, #Bitcoin experienced a whopping 14.9% upward difficulty adjustment, as hash rate has recovered to 113 EH/s post-Halving.",https://x.com/clarkmoody/status/1272936043872952320,9454.2666015625,9579.4306640625,9400.4453125,9538.0244140625,9538.0244140625,21565537209,9480.2548828125,0
2020-06-17,"BeInCrypto takes a look at some technical analysis for BTC, ICX, HBAR, STEEM, OMG, and more. Also, what's this new Fishiness Indicator about?",0.05,0.32,Neutral,I will be humble during the #bitcoin bull cycle I will be humble during the #bitcoin bull cycle I will be humble during the #bitcoin bull cycle I will be humble during the #bitcoin bull cycle I will be humble during the #bitcoin bull cycle,https://x.com/malandrox7/status/1273314138803113992,9533.7841796875,9540.4228515625,9327.33984375,9480.2548828125,9480.2548828125,20177709879,9411.8408203125,0
2020-06-18,"Bitcoin crashed a couple of days ago, but the king coin was able to quickly regain its losses. At the moment of writing this article, Bitcoin is trading in the red and the most important",0.21,0.41,Neutral,"RECORD-Almost $5 trillion dollars sitting in cash.Dash to cash most surprising because it all yields near 0. 
Huge opportunity cost vs equity, #GOLD, #bitcoin.Such great negativity/fear not usually present at equity mkt tops.Wall of worry growing taller by the day.",https://twitter.com/DTAPCAP/status/1273403132853342211,9481.5673828125,9482.7822265625,9328.3955078125,9411.8408203125,9411.8408203125,17770083003,9288.0185546875,0
