Date,Open,High,Low,Close*,Adj Close**,Volume
12/10/2021,4368.31,4374.89,4342.09,4350.65,4350.65,3558450000
13/10/2021,4358.01,4372.87,4329.92,4363.8,4363.8,3620070000
14/10/2021,4386.75,4439.73,4386.75,4438.26,4438.26,3598280000
15/10/2021,4447.69,4475.82,4447.69,4471.37,4471.37,3819380000
18/10/2021,4463.72,4488.75,4447.47,4486.46,4486.46,3662010000
19/10/2021,4497.34,4520.4,4496.41,4519.63,4519.63,3459130000
20/10/2021,4524.42,4540.87,4524.4,4536.19,4536.19,3670760000
21/10/2021,4532.24,4551.44,4526.89,4549.78,4549.78,3822330000
22/10/2021,4546.12,4559.67,4524,4544.9,4544.9,3758220000
25/10/2021,4553.69,4572.62,4537.36,4566.48,4566.48,3899400000
26/10/2021,4578.69,4598.53,4569.17,4574.79,4574.79,3879740000
27/10/2021,4580.22,4584.57,4551.66,4551.68,4551.68,4226050000
28/10/2021,4562.84,4597.55,4562.84,4596.42,4596.42,4132950000
29/10/2021,4572.87,4608.08,4567.59,4605.38,4605.38,4510200000
1/11/2021,4610.62,4620.34,4595.06,4613.67,4613.67,3971540000
2/11/2021,4613.34,4635.15,4613.34,4630.65,4630.65,3975250000
3/11/2021,4630.65,4663.46,4621.19,4660.57,4660.57,4319660000
4/11/2021,4662.93,4683,4662.59,4680.06,4680.06,4462300000
5/11/2021,4699.26,4718.5,4681.32,4697.53,4697.53,4467180000
8/11/2021,4701.48,4714.92,4694.39,4701.7,4701.7,4269710000
9/11/2021,4707.25,4708.53,4670.87,4685.25,4685.25,4117080000
10/11/2021,4670.26,4684.85,4630.86,4646.71,4646.71,4503720000
11/11/2021,4659.39,4664.55,4648.31,4649.27,4649.27,3926870000
12/11/2021,4655.24,4688.47,4650.77,4682.85,4682.85,3728600000
15/11/2021,4689.3,4697.42,4672.86,4682.8,4682.8,3488410000
16/11/2021,4679.42,4714.95,4679.42,4700.9,4700.9,3972640000
17/11/2021,4701.5,4701.5,4684.41,4688.67,4688.67,3969070000
18/11/2021,4700.72,4708.8,4672.78,4704.54,4704.54,4226410000
19/11/2021,4708.44,4717.75,4694.22,4697.96,4697.96,4253180000
22/11/2021,4712,4743.83,4682.17,4682.94,4682.94,4441100000
23/11/2021,4678.48,4699.39,4652.66,4690.7,4690.7,4277590000
24/11/2021,4675.78,4702.87,4659.89,4701.46,4701.46,3418430000
26/11/2021,4664.63,4664.63,4585.43,4594.62,4594.62,3517700000
29/11/2021,4628.75,4672.95,4625.26,4655.27,4655.27,4336410000
30/11/2021,4640.25,4646.02,4560,4567,4567,6625990000
1/12/2021,4602.82,4652.94,4510.27,4513.04,4513.04,5366730000
2/12/2021,4504.73,4595.46,4504.73,4577.1,4577.1,5077180000
3/12/2021,4589.49,4608.03,4495.12,4538.43,4538.43,5240070000
6/12/2021,4548.37,4612.6,4540.51,4591.67,4591.67,4770800000
7/12/2021,4631.97,4694.04,4631.97,4686.75,4686.75,4492400000
8/12/2021,4690.86,4705.06,4674.52,4701.21,4701.21,4234600000
9/12/2021,4691,4695.26,4665.98,4667.45,4667.45,3903840000
10/12/2021,4687.64,4713.57,4670.24,4712.02,4712.02,3870110000
13/12/2021,4710.3,4710.3,4667.6,4668.97,4668.97,4397230000
14/12/2021,4642.99,4660.47,4606.52,4634.09,4634.09,4485430000
15/12/2021,4636.46,4712.6,4611.22,4709.85,4709.85,4910130000
16/12/2021,4719.13,4731.99,4651.89,4668.67,4668.67,4829500000
17/12/2021,4652.5,4666.7,4600.22,4620.64,4620.64,7987090000
20/12/2021,4587.9,4587.9,4531.1,4568.02,4568.02,4635700000
21/12/2021,4594.96,4651.14,4583.16,4649.23,4649.23,4072430000
22/12/2021,4650.36,4697.67,4645.53,4696.56,4696.56,3319610000
23/12/2021,4703.96,4740.74,4703.96,4725.79,4725.79,2913040000
27/12/2021,4733.99,4791.49,4733.99,4791.19,4791.19,2770290000
28/12/2021,4795.49,4807.02,4780.04,4786.35,4786.35,2707920000
29/12/2021,4788.64,4804.06,4778.08,4793.06,4793.06,2963310000
30/12/2021,4794.23,4808.93,4775.33,4778.73,4778.73,3124950000
31/12/2021,4775.21,4786.83,4765.75,4766.18,4766.18,2677820000
3/1/2022,4778.14,4796.64,4758.17,4796.56,4796.56,3831020000
4/1/2022,4804.51,4818.62,4774.27,4793.54,4793.54,4683170000
5/1/2022,4787.99,4797.7,4699.44,4700.58,4700.58,4887960000
6/1/2022,4693.39,4725.01,4671.26,4696.05,4696.05,4295280000
7/1/2022,4697.66,4707.95,4662.74,4677.03,4677.03,4181510000
10/1/2022,4655.34,4673.02,4582.24,4670.29,4670.29,4511810000
11/1/2022,4669.14,4714.13,4638.27,4713.07,4713.07,4101590000
12/1/2022,4728.59,4748.83,4706.71,4726.35,4726.35,4048220000
13/1/2022,4733.56,4744.13,4650.29,4659.03,4659.03,4251730000
14/1/2022,4637.99,4665.13,4614.75,4662.85,4662.85,4338490000
18/1/2022,4632.24,4632.24,4568.7,4577.11,4577.11,4748700000
19/1/2022,4588.03,4611.55,4530.2,4532.76,4532.76,4465740000
20/1/2022,4547.35,4602.11,4477.95,4482.73,4482.73,4640870000
21/1/2022,4471.38,4494.52,4395.34,4397.94,4397.94,5589100000
24/1/2022,4356.32,4417.35,4222.62,4410.13,4410.13,6928110000
25/1/2022,4366.64,4411.01,4287.11,4356.45,4356.45,5145050000
26/1/2022,4408.43,4453.23,4304.8,4349.93,4349.93,5570640000
27/1/2022,4380.58,4428.74,4309.5,4326.51,4326.51,5214200000
28/1/2022,4336.19,4432.72,4292.46,4431.85,4431.85,5031090000
31/1/2022,4431.79,4516.89,4414.02,4515.55,4515.55,5098610000
1/2/2022,4519.57,4550.49,4483.53,4546.54,4546.54,4816830000
2/2/2022,4566.39,4595.31,4544.32,4589.38,4589.38,4481580000
3/2/2022,4535.41,4542.88,4470.39,4477.44,4477.44,4401970000
4/2/2022,4482.79,4539.66,4451.5,4500.53,4500.53,4706290000
7/2/2022,4505.75,4521.86,4471.47,4483.87,4483.87,4228480000
8/2/2022,4480.02,4531.32,4465.4,4521.54,4521.54,4459620000
9/2/2022,4547,4590.03,4547,4587.18,4587.18,4524350000
10/2/2022,4553.24,4588.92,4484.31,4504.08,4504.08,5314860000
11/2/2022,4506.27,4526.33,4401.41,4418.64,4418.64,5251500000
14/2/2022,4412.61,4426.22,4364.84,4401.67,4401.67,4600390000
15/2/2022,4429.28,4472.77,4429.28,4471.07,4471.07,4430830000
16/2/2022,4455.75,4489.55,4429.68,4475.01,4475.01,4283640000
17/2/2022,4456.06,4456.06,4373.81,4380.26,4380.26,4539420000
18/2/2022,4384.57,4394.6,4327.22,4348.87,4348.87,4708060000
22/2/2022,4332.74,4362.12,4267.11,4304.76,4304.76,5121900000
23/2/2022,4324.93,4341.51,4221.51,4225.5,4225.5,4797430000
24/2/2022,4155.77,4294.73,4114.65,4288.7,4288.7,6752130000
25/2/2022,4298.38,4385.34,4286.83,4384.65,4384.65,5177060000
28/2/2022,4354.17,4388.84,4315.12,4373.94,4373.94,6071370000
1/3/2022,4363.14,4378.45,4279.54,4306.26,4306.26,5846230000
2/3/2022,4322.56,4401.48,4322.56,4386.54,4386.54,5337870000
3/3/2022,4401.31,4416.78,4345.56,4363.49,4363.49,5039890000
4/3/2022,4342.12,4342.12,4284.98,4328.87,4328.87,5797380000
7/3/2022,4327.01,4327.01,4199.85,4201.09,4201.09,6940470000
8/3/2022,4202.66,4276.94,4157.87,4170.7,4170.7,7243120000
9/3/2022,4223.1,4299.4,4223.1,4277.88,4277.88,5662670000
10/3/2022,4252.55,4268.28,4209.8,4259.52,4259.52,4980830000
11/3/2022,4279.5,4291.01,4200.49,4204.31,4204.31,4938640000
14/3/2022,4202.75,4247.57,4161.72,4173.11,4173.11,5574920000
15/3/2022,4188.82,4271.05,4187.9,4262.45,4262.45,5392470000
16/3/2022,4288.14,4358.9,4251.99,4357.86,4357.86,6309750000
17/3/2022,4345.11,4412.67,4335.65,4411.67,4411.67,4985090000
18/3/2022,4407.34,4465.4,4390.57,4463.12,4463.12,8278430000
21/3/2022,4462.4,4481.75,4424.3,4461.18,4461.18,4869820000
22/3/2022,4469.1,4522,4469.1,4511.61,4511.61,4754840000
23/3/2022,4493.1,4501.07,4455.81,4456.24,4456.24,4550670000
24/3/2022,4469.98,4520.58,4465.17,4520.16,4520.16,4131390000
25/3/2022,4522.91,4546.03,4501.07,4543.06,4543.06,4305020000
28/3/2022,4541.09,4575.65,4517.69,4575.52,4575.52,4312260000
29/3/2022,4602.86,4637.3,4589.66,4631.6,4631.6,5085910000
30/3/2022,4624.2,4627.77,4581.32,4602.45,4602.45,4385570000
31/3/2022,4599.02,4603.07,4530.41,4530.41,4530.41,4823020000
1/4/2022,4540.32,4548.7,4507.57,4545.86,4545.86,4562940000
4/4/2022,4547.97,4583.5,4539.21,4582.64,4582.64,4547350000
5/4/2022,4572.45,4593.45,4514.17,4525.12,4525.12,4800620000
6/4/2022,4494.17,4503.94,4450.04,4481.15,4481.15,4986830000
7/4/2022,4474.65,4521.16,4450.3,4500.21,4500.21,4821490000
8/4/2022,4494.15,4520.41,4474.6,4488.28,4488.28,4083200000
11/4/2022,4462.64,4464.35,4408.38,4412.53,4412.53,4266290000
12/4/2022,4437.59,4471,4381.34,4397.45,4397.45,4152090000
13/4/2022,4394.3,4453.92,4392.7,4446.59,4446.59,3828150000
14/4/2022,4449.12,4460.46,4390.77,4392.59,4392.59,4083090000
18/4/2022,4385.63,4410.31,4370.3,4391.69,4391.69,3910490000
19/4/2022,4390.63,4471.03,4390.63,4462.21,4462.21,4108120000
20/4/2022,4472.26,4488.29,4448.76,4459.45,4459.45,4290450000
21/4/2022,4489.17,4512.94,4384.47,4393.66,4393.66,4636890000
22/4/2022,4385.83,4385.83,4267.62,4271.78,4271.78,4651940000
25/4/2022,4255.34,4299.02,4200.82,4296.12,4296.12,5240040000
26/4/2022,4278.14,4278.14,4175.04,4175.2,4175.2,4689970000
27/4/2022,4186.52,4240.71,4162.9,4183.96,4183.96,4769680000
28/4/2022,4222.58,4308.45,4188.63,4287.5,4287.5,4854180000
29/4/2022,4253.75,4269.68,4124.28,4131.93,4131.93,5084030000
2/5/2022,4130.61,4169.81,4062.51,4155.38,4155.38,5163790000
3/5/2022,4159.78,4200.1,4147.08,4175.48,4175.48,4582050000
4/5/2022,4181.18,4307.66,4148.91,4300.17,4300.17,5136360000
5/5/2022,4270.43,4270.43,4106.01,4146.87,4146.87,5077030000
6/5/2022,4128.17,4157.69,4067.91,4123.34,4123.34,5116940000
9/5/2022,4081.27,4081.27,3975.48,3991.24,3991.24,5954520000
10/5/2022,4035.18,4068.82,3958.17,4001.05,4001.05,5885820000
11/5/2022,3990.08,4049.09,3928.82,3935.18,3935.18,5816140000
12/5/2022,3903.95,3964.8,3858.87,3930.08,3930.08,6286450000
13/5/2022,3963.9,4038.88,3963.9,4023.89,4023.89,5183340000
16/5/2022,4013.02,4046.46,3983.99,4008.01,4008.01,4415030000
17/5/2022,4052,4090.72,4033.93,4088.85,4088.85,4841410000
18/5/2022,4051.98,4051.98,3911.91,3923.68,3923.68,5103220000
19/5/2022,3899,3945.96,3876.58,3900.79,3900.79,5113550000
20/5/2022,3927.76,3943.42,3810.32,3901.36,3901.36,5130730000
23/5/2022,3919.42,3981.88,3909.04,3973.75,3973.75,4420030000
24/5/2022,3942.94,3955.68,3875.13,3941.48,3941.48,4923190000
25/5/2022,3929.59,3999.33,3925.03,3978.73,3978.73,4802560000
26/5/2022,3984.6,4075.14,3984.6,4057.84,4057.84,4709970000
27/5/2022,4077.43,4158.49,4077.43,4158.24,4158.24,4375620000
31/5/2022,4151.09,4168.34,4104.88,4132.15,4132.15,6822640000
1/6/2022,4149.78,4166.54,4073.85,4101.23,4101.23,4531800000
2/6/2022,4095.41,4177.51,4074.37,4176.82,4176.82,4405790000
3/6/2022,4137.57,4142.67,4098.67,4108.54,4108.54,3711110000
